prompt_id,prompt,prompt_family,scene_context_type,scene_context,composition
spatial_natural_single_001,A realistic image of a safety pin to the right of a tiny coin on a cluttered desk with many office supplies.,spatial_layout,natural,on a cluttered desk with many office supplies,single
spatial_natural_single_002,A realistic image of a small washer to the right of a beige binder clip on a cluttered desk with many office supplies.,spatial_layout,natural,on a cluttered desk with many office supplies,single
spatial_natural_single_003,A realistic image of a beige binder clip to the left of a small washer on a craft table with beads and art supplies.,spatial_layout,natural,on a craft table with beads and art supplies,single
spatial_natural_single_004,A realistic image of a bottle cap to the left of a beige binder clip on a craft table with beads and art supplies.,spatial_layout,natural,on a craft table with beads and art supplies,single
spatial_natural_single_005,A realistic image of a bottle cap to the right of a sewing needle on a craft table with beads and art supplies.,spatial_layout,natural,on a craft table with beads and art supplies,single
spatial_natural_single_006,A realistic image of a rubber band lower in the image than a bottle cap on a craft table with beads and art supplies.,spatial_layout,natural,on a craft table with beads and art supplies,single
spatial_natural_single_007,A realistic image of a beige binder clip in the lower-right area relative to a rubber band on a dining table with plates and utensils nearby.,spatial_layout,natural,on a dining table with plates and utensils nearby,single
spatial_natural_single_008,A realistic image of a die higher in the image than a bottle cap on a dining table with plates and utensils nearby.,spatial_layout,natural,on a dining table with plates and utensils nearby,single
spatial_natural_single_009,A realistic image of a marble higher in the image than a safety pin on a dining table with plates and utensils nearby.,spatial_layout,natural,on a dining table with plates and utensils nearby,single
spatial_natural_single_010,A realistic image of a rubber band lower in the image than a beige binder clip on a dining table with plates and utensils nearby.,spatial_layout,natural,on a dining table with plates and utensils nearby,single
spatial_natural_single_011,A realistic image of a small washer in the upper-left area relative to a sewing needle on a picnic blanket with many small objects.,spatial_layout,natural,on a picnic blanket with many small objects,single
spatial_natural_single_012,A realistic image of a tiny coin to the right of a thumbtack on a picnic blanket with many small objects.,spatial_layout,natural,on a picnic blanket with many small objects,single
spatial_natural_single_013,A realistic image of a transparent button to the right of a safety pin on a picnic blanket with many small objects.,spatial_layout,natural,on a picnic blanket with many small objects,single
spatial_natural_single_014,A realistic image of a sewing needle lower in the image than a thumbtack on a shelf full of books and decorations.,spatial_layout,natural,on a shelf full of books and decorations,single
spatial_natural_single_015,A realistic image of a small washer lower in the image than a metallic paper clip on a shelf full of books and decorations.,spatial_layout,natural,on a shelf full of books and decorations,single
spatial_natural_single_016,A realistic image of a thumbtack in the upper-left area relative to a metallic paper clip on a shelf full of books and decorations.,spatial_layout,natural,on a shelf full of books and decorations,single
spatial_natural_single_017,A realistic image of a rubber band in the upper-left area relative to a thumbtack on a workbench with tools.,spatial_layout,natural,on a workbench with tools,single
spatial_simple_single_018,A clean front-facing image of a beige binder clip in the lower-right area relative to a die on a clean surface with a few unrelated objects.,spatial_layout,simple,on a clean surface with a few unrelated objects,single
spatial_simple_single_019,A clean front-facing image of a beige binder clip in the lower-right area relative to a thumbtack on a clean surface with a few unrelated objects.,spatial_layout,simple,on a clean surface with a few unrelated objects,single
spatial_simple_single_020,A clean front-facing image of a bottle cap higher in the image than a sewing needle on a clean surface with a few unrelated objects.,spatial_layout,simple,on a clean surface with a few unrelated objects,single
spatial_simple_single_021,A clean front-facing image of a rubber band in the upper-left area relative to a die on a clean surface with a few unrelated objects.,spatial_layout,simple,on a clean surface with a few unrelated objects,single
spatial_simple_single_022,A clean front-facing image of a transparent button lower in the image than a metallic paper clip on a clean surface with a few unrelated objects.,spatial_layout,simple,on a clean surface with a few unrelated objects,single
spatial_simple_single_023,A clean front-facing image of a bottle cap lower in the image than a beige binder clip on a lightly cluttered tabletop.,spatial_layout,simple,on a lightly cluttered tabletop,single
spatial_simple_single_024,A clean front-facing image of a die higher in the image than a beige binder clip on a lightly cluttered tabletop.,spatial_layout,simple,on a lightly cluttered tabletop,single
spatial_simple_single_025,A clean front-facing image of a die higher in the image than a sewing needle on a lightly cluttered tabletop.,spatial_layout,simple,on a lightly cluttered tabletop,single
spatial_simple_single_026,A clean front-facing image of a metallic paper clip in the lower-right area relative to a small washer on a lightly cluttered tabletop.,spatial_layout,simple,on a lightly cluttered tabletop,single
spatial_simple_single_027,A clean front-facing image of a rubber band higher in the image than a sewing needle on a lightly cluttered tabletop.,spatial_layout,simple,on a lightly cluttered tabletop,single
spatial_simple_single_028,A clean front-facing image of a rubber band higher in the image than a small washer on a plain desk with soft shadows.,spatial_layout,simple,on a plain desk with soft shadows,single
spatial_simple_single_029,A clean front-facing image of a safety pin in the upper-left area relative to a thumbtack on a plain desk with soft shadows.,spatial_layout,simple,on a plain desk with soft shadows,single
spatial_simple_single_030,A clean front-facing image of a transparent button to the left of a marble on a plain desk with soft shadows.,spatial_layout,simple,on a plain desk with soft shadows,single
cardinality_natural_single_001,A realistic image of exactly 6 small sewing needles on a cluttered desk with many office supplies.,cardinality,natural,on a cluttered desk with many office supplies,single
cardinality_natural_single_002,A realistic image of exactly 6 small transparent buttons on a cluttered desk with many office supplies.,cardinality,natural,on a cluttered desk with many office supplies,single
cardinality_natural_single_003,A realistic image of exactly 5 small metallic paper clips on a craft table with beads and art supplies.,cardinality,natural,on a craft table with beads and art supplies,single
cardinality_natural_single_004,A realistic image of exactly 5 small beige binder clips on a crowded kitchen counter.,cardinality,natural,on a crowded kitchen counter,single
cardinality_natural_single_005,A realistic image of exactly 5 small small washers on a crowded kitchen counter.,cardinality,natural,on a crowded kitchen counter,single
cardinality_natural_single_006,A realistic image of exactly 6 small beige binder clips on a crowded kitchen counter.,cardinality,natural,on a crowded kitchen counter,single
cardinality_natural_single_007,A realistic image of exactly 7 small small washers on a crowded kitchen counter.,cardinality,natural,on a crowded kitchen counter,single
cardinality_natural_single_008,A realistic image of exactly 5 small sewing needles on a dining table with plates and utensils nearby.,cardinality,natural,on a dining table with plates and utensils nearby,single
cardinality_natural_single_009,A realistic image of exactly 6 small transparent buttons on a dining table with plates and utensils nearby.,cardinality,natural,on a dining table with plates and utensils nearby,single
