constraint_id,prompt_id,constraint_type,check_text,object_1,object_2,relation,relation_text,target_object,target_count,attribute,attribute_1,attribute_2
spatial_natural_single_001_exist_object_1,spatial_natural_single_001,object_existence,The safety pin should be clearly visible.,safety pin,,,,safety pin,,,,
spatial_natural_single_001_exist_object_2,spatial_natural_single_001,object_existence,The tiny coin should be clearly visible.,tiny coin,,,,tiny coin,,,,
spatial_natural_single_001_spatial,spatial_natural_single_001,spatial_relation,The safety pin should be to the right of the tiny coin in the 2D image.,safety pin,tiny coin,right_of,to the right of,,,,,
spatial_natural_single_003_exist_object_1,spatial_natural_single_003,object_existence,The beige binder clip should be clearly visible.,beige binder clip,,,,beige binder clip,,,,
spatial_natural_single_003_exist_object_2,spatial_natural_single_003,object_existence,The small washer should be clearly visible.,small washer,,,,small washer,,,,
spatial_natural_single_003_spatial,spatial_natural_single_003,spatial_relation,The beige binder clip should be to the left of the small washer in the 2D image.,beige binder clip,small washer,left_of,to the left of,,,,,
spatial_natural_single_006_exist_object_1,spatial_natural_single_006,object_existence,The rubber band should be clearly visible.,rubber band,,,,rubber band,,,,
spatial_natural_single_006_exist_object_2,spatial_natural_single_006,object_existence,The bottle cap should be clearly visible.,bottle cap,,,,bottle cap,,,,
spatial_natural_single_006_spatial,spatial_natural_single_006,spatial_relation,The rubber band should be lower in the image than the bottle cap in the 2D image.,rubber band,bottle cap,lower_than,lower in the image than,,,,,
spatial_natural_single_009_exist_object_1,spatial_natural_single_009,object_existence,The marble should be clearly visible.,marble,,,,marble,,,,
spatial_natural_single_009_exist_object_2,spatial_natural_single_009,object_existence,The safety pin should be clearly visible.,safety pin,,,,safety pin,,,,
spatial_natural_single_009_spatial,spatial_natural_single_009,spatial_relation,The marble should be higher in the image than the safety pin in the 2D image.,marble,safety pin,higher_than,higher in the image than,,,,,
spatial_natural_single_012_exist_object_1,spatial_natural_single_012,object_existence,The tiny coin should be clearly visible.,tiny coin,,,,tiny coin,,,,
spatial_natural_single_012_exist_object_2,spatial_natural_single_012,object_existence,The thumbtack should be clearly visible.,thumbtack,,,,thumbtack,,,,
spatial_natural_single_012_spatial,spatial_natural_single_012,spatial_relation,The tiny coin should be to the right of the thumbtack in the 2D image.,tiny coin,thumbtack,right_of,to the right of,,,,,
spatial_natural_single_015_exist_object_1,spatial_natural_single_015,object_existence,The small washer should be clearly visible.,small washer,,,,small washer,,,,
spatial_natural_single_015_exist_object_2,spatial_natural_single_015,object_existence,The metallic paper clip should be clearly visible.,metallic paper clip,,,,metallic paper clip,,,,
spatial_natural_single_015_spatial,spatial_natural_single_015,spatial_relation,The small washer should be lower in the image than the metallic paper clip in the 2D image.,small washer,metallic paper clip,lower_than,lower in the image than,,,,,
spatial_simple_single_019_exist_object_1,spatial_simple_single_019,object_existence,The beige binder clip should be clearly visible.,beige binder clip,,,,beige binder clip,,,,
spatial_simple_single_019_exist_object_2,spatial_simple_single_019,object_existence,The thumbtack should be clearly visible.,thumbtack,,,,thumbtack,,,,
spatial_simple_single_019_spatial,spatial_simple_single_019,spatial_relation,The beige binder clip should be in the lower-right area relative to the thumbtack in the 2D image.,beige binder clip,thumbtack,lower_right_of,in the lower-right area relative to,,,,,
spatial_simple_single_022_exist_object_1,spatial_simple_single_022,object_existence,The transparent button should be clearly visible.,transparent button,,,,transparent button,,,,
spatial_simple_single_022_exist_object_2,spatial_simple_single_022,object_existence,The metallic paper clip should be clearly visible.,metallic paper clip,,,,metallic paper clip,,,,
spatial_simple_single_022_spatial,spatial_simple_single_022,spatial_relation,The transparent button should be lower in the image than the metallic paper clip in the 2D image.,transparent button,metallic paper clip,lower_than,lower in the image than,,,,,
spatial_simple_single_025_exist_object_1,spatial_simple_single_025,object_existence,The die should be clearly visible.,die,,,,die,,,,
spatial_simple_single_025_exist_object_2,spatial_simple_single_025,object_existence,The sewing needle should be clearly visible.,sewing needle,,,,sewing needle,,,,
spatial_simple_single_025_spatial,spatial_simple_single_025,spatial_relation,The die should be higher in the image than the sewing needle in the 2D image.,die,sewing needle,higher_than,higher in the image than,,,,,
spatial_simple_single_028_exist_object_1,spatial_simple_single_028,object_existence,The rubber band should be clearly visible.,rubber band,,,,rubber band,,,,
spatial_simple_single_028_exist_object_2,spatial_simple_single_028,object_existence,The small washer should be clearly visible.,small washer,,,,small washer,,,,
spatial_simple_single_028_spatial,spatial_simple_single_028,spatial_relation,The rubber band should be higher in the image than the small washer in the 2D image.,rubber band,small washer,higher_than,higher in the image than,,,,,
cardinality_natural_single_001_exist_target,cardinality_natural_single_001,object_existence,The sewing needle should be clearly visible.,sewing needle,,,,sewing needle,,,,
cardinality_natural_single_001_cardinality,cardinality_natural_single_001,cardinality,There should be exactly 6 clearly visible sewing needles.,,,,,sewing needle,6,,,
cardinality_natural_single_011_exist_target,cardinality_natural_single_011,object_existence,The tiny coin should be clearly visible.,tiny coin,,,,tiny coin,,,,
cardinality_natural_single_011_cardinality,cardinality_natural_single_011,cardinality,There should be exactly 7 clearly visible tiny coins.,,,,,tiny coin,7,,,
cardinality_natural_single_021_exist_target,cardinality_natural_single_021,object_existence,The rubber band should be clearly visible.,rubber band,,,,rubber band,,,,
cardinality_natural_single_021_cardinality,cardinality_natural_single_021,cardinality,There should be exactly 7 clearly visible rubber bands.,,,,,rubber band,7,,,
cardinality_simple_single_026_exist_target,cardinality_simple_single_026,object_existence,The small washer should be clearly visible.,small washer,,,,small washer,,,,
cardinality_simple_single_026_cardinality,cardinality_simple_single_026,cardinality,There should be exactly 6 clearly visible small washers.,,,,,small washer,6,,,
cardinality_simple_single_030_exist_target,cardinality_simple_single_030,object_existence,The transparent button should be clearly visible.,transparent button,,,,transparent button,,,,
cardinality_simple_single_030_cardinality,cardinality_simple_single_030,cardinality,There should be exactly 6 clearly visible transparent buttons.,,,,,transparent button,6,,,
attribute_natural_single_006_exist_object_1,attribute_natural_single_006,object_existence,The sewing needle should be clearly visible.,sewing needle,,,,sewing needle,,,,
attribute_natural_single_006_exist_object_2,attribute_natural_single_006,object_existence,The transparent button should be clearly visible.,transparent button,,,,transparent button,,,,
attribute_natural_single_006_attr_object_1,attribute_natural_single_006,attribute,The sewing needle should be matte black.,sewing needle,,,,sewing needle,,matte black,matte black,
attribute_natural_single_006_attr_object_2,attribute_natural_single_006,attribute,The transparent button should be glossy white.,transparent button,,,,transparent button,,glossy white,glossy white,
attribute_natural_single_012_exist_object_1,attribute_natural_single_012,object_existence,The die should be clearly visible.,die,,,,die,,,,
attribute_natural_single_012_exist_object_2,attribute_natural_single_012,object_existence,The safety pin should be clearly visible.,safety pin,,,,safety pin,,,,
attribute_natural_single_012_attr_object_1,attribute_natural_single_012,attribute,The die should be blue-and-white striped.,die,,,,die,,blue-and-white striped,blue-and-white striped,
attribute_natural_single_012_attr_object_2,attribute_natural_single_012,attribute,The safety pin should be polka-dotted.,safety pin,,,,safety pin,,polka-dotted,polka-dotted,
attribute_natural_single_018_exist_object_1,attribute_natural_single_018,object_existence,The rubber band should be clearly visible.,rubber band,,,,rubber band,,,,
