image_id,prompt_id,model_name,sample_id,image_path,generation_status,seed,timestamp
spatial_natural_single_001_gpt-image-1_0,spatial_natural_single_001,gpt-image-1,0,../data/images/openai_checkpoint2/spatial_natural_single_001_gpt-image-1_0.png,success,,2026-05-22T19:42:58.439078+00:00
spatial_natural_single_003_gpt-image-1_0,spatial_natural_single_003,gpt-image-1,0,../data/images/openai_checkpoint2/spatial_natural_single_003_gpt-image-1_0.png,success,,2026-05-22T19:43:11.269310+00:00
spatial_natural_single_006_gpt-image-1_0,spatial_natural_single_006,gpt-image-1,0,../data/images/openai_checkpoint2/spatial_natural_single_006_gpt-image-1_0.png,success,,2026-05-22T19:43:22.226296+00:00
spatial_natural_single_009_gpt-image-1_0,spatial_natural_single_009,gpt-image-1,0,../data/images/openai_checkpoint2/spatial_natural_single_009_gpt-image-1_0.png,success,,2026-05-22T19:43:38.940347+00:00
spatial_natural_single_012_gpt-image-1_0,spatial_natural_single_012,gpt-image-1,0,../data/images/openai_checkpoint2/spatial_natural_single_012_gpt-image-1_0.png,success,,2026-05-22T19:43:48.813494+00:00
spatial_natural_single_015_gpt-image-1_0,spatial_natural_single_015,gpt-image-1,0,../data/images/openai_checkpoint2/spatial_natural_single_015_gpt-image-1_0.png,success,,2026-05-22T19:44:00.191200+00:00
spatial_simple_single_019_gpt-image-1_0,spatial_simple_single_019,gpt-image-1,0,../data/images/openai_checkpoint2/spatial_simple_single_019_gpt-image-1_0.png,success,,2026-05-22T19:44:11.680268+00:00
spatial_simple_single_022_gpt-image-1_0,spatial_simple_single_022,gpt-image-1,0,../data/images/openai_checkpoint2/spatial_simple_single_022_gpt-image-1_0.png,success,,2026-05-22T19:44:21.462871+00:00
spatial_simple_single_025_gpt-image-1_0,spatial_simple_single_025,gpt-image-1,0,../data/images/openai_checkpoint2/spatial_simple_single_025_gpt-image-1_0.png,success,,2026-05-22T19:44:35.079745+00:00
spatial_simple_single_028_gpt-image-1_0,spatial_simple_single_028,gpt-image-1,0,../data/images/openai_checkpoint2/spatial_simple_single_028_gpt-image-1_0.png,success,,2026-05-22T19:44:44.902778+00:00
attribute_natural_single_006_gpt-image-1_0,attribute_natural_single_006,gpt-image-1,0,../data/images/openai_checkpoint2/attribute_natural_single_006_gpt-image-1_0.png,success,,2026-05-22T19:44:55.143415+00:00
attribute_natural_single_012_gpt-image-1_0,attribute_natural_single_012,gpt-image-1,0,../data/images/openai_checkpoint2/attribute_natural_single_012_gpt-image-1_0.png,success,,2026-05-22T19:45:06.917698+00:00
attribute_natural_single_018_gpt-image-1_0,attribute_natural_single_018,gpt-image-1,0,../data/images/openai_checkpoint2/attribute_natural_single_018_gpt-image-1_0.png,success,,2026-05-22T19:45:17.584972+00:00
attribute_simple_single_024_gpt-image-1_0,attribute_simple_single_024,gpt-image-1,0,../data/images/openai_checkpoint2/attribute_simple_single_024_gpt-image-1_0.png,success,,2026-05-22T19:45:29.497543+00:00
attribute_simple_single_030_gpt-image-1_0,attribute_simple_single_030,gpt-image-1,0,../data/images/openai_checkpoint2/attribute_simple_single_030_gpt-image-1_0.png,success,,2026-05-22T19:45:41.050477+00:00
