image_id,prompt_id,constraint_id,constraint_type,prompt_family,scene_context_type,scene_context,composition,human_label,vlm_label,human_notes,vlm_reason,parse_status
spatial_natural_single_001_gpt-image-1_0,spatial_natural_single_001,spatial_natural_single_001_exist_object_1,object_existence,spatial_layout,natural,on a cluttered desk with many office supplies,single,pass,pass,safety pin is clearly visible,The safety pin is clearly visible on the desk.,success
spatial_natural_single_001_gpt-image-1_0,spatial_natural_single_001,spatial_natural_single_001_exist_object_2,object_existence,spatial_layout,natural,on a cluttered desk with many office supplies,single,pass,pass,tiny coin is clearly visible,A tiny coin is clearly visible on the desk.,success
spatial_natural_single_001_gpt-image-1_0,spatial_natural_single_001,spatial_natural_single_001_spatial,spatial_relation,spatial_layout,natural,on a cluttered desk with many office supplies,single,pass,pass,safety pin is clearly to the right of the tiny coin,The safety pin is clearly to the right of the tiny coin in the image.,success
spatial_natural_single_003_gpt-image-1_0,spatial_natural_single_003,spatial_natural_single_003_exist_object_1,object_existence,spatial_layout,natural,on a craft table with beads and art supplies,single,pass,pass,the beige binder clip is clearly visible,The beige binder clip is clearly visible in the image.,success
spatial_natural_single_003_gpt-image-1_0,spatial_natural_single_003,spatial_natural_single_003_exist_object_2,object_existence,spatial_layout,natural,on a craft table with beads and art supplies,single,pass,pass,the small washer is clearly visible,A small washer is clearly visible in the foreground.,success
spatial_natural_single_003_gpt-image-1_0,spatial_natural_single_003,spatial_natural_single_003_spatial,spatial_relation,spatial_layout,natural,on a craft table with beads and art supplies,single,pass,pass,the beige binder clip is clearly to the left of the small washer,The beige binder clip is clearly to the left of the small washer.,success
spatial_natural_single_006_gpt-image-1_0,spatial_natural_single_006,spatial_natural_single_006_exist_object_1,object_existence,spatial_layout,natural,on a craft table with beads and art supplies,single,pass,pass,the rubber band is clearly visible,The rubber band is clearly visible in the center of the image.,success
spatial_natural_single_006_gpt-image-1_0,spatial_natural_single_006,spatial_natural_single_006_exist_object_2,object_existence,spatial_layout,natural,on a craft table with beads and art supplies,single,pass,pass,the bottle cap is clearly visible,The bottle cap is clearly visible in the center of the image.,success
spatial_natural_single_006_gpt-image-1_0,spatial_natural_single_006,spatial_natural_single_006_spatial,spatial_relation,spatial_layout,natural,on a craft table with beads and art supplies,single,pass,pass,the rubber band is clearly lower than the bottle cap in the 2D image,The rubber band is clearly lower in the image than the bottle cap.,success
spatial_natural_single_009_gpt-image-1_0,spatial_natural_single_009,spatial_natural_single_009_exist_object_1,object_existence,spatial_layout,natural,on a dining table with plates and utensils nearby,single,pass,pass,the marble is clearly visible,The marble is clearly visible on the table.,success
spatial_natural_single_009_gpt-image-1_0,spatial_natural_single_009,spatial_natural_single_009_exist_object_2,object_existence,spatial_layout,natural,on a dining table with plates and utensils nearby,single,pass,pass,the safety pin is clearly visible,The safety pin is clearly visible on the table.,success
spatial_natural_single_009_gpt-image-1_0,spatial_natural_single_009,spatial_natural_single_009_spatial,spatial_relation,spatial_layout,natural,on a dining table with plates and utensils nearby,single,pass,pass,the marble is clearly higher than the safety pin in the 2D image.,The marble is clearly higher in the image than the safety pin.,success
spatial_natural_single_012_gpt-image-1_0,spatial_natural_single_012,spatial_natural_single_012_exist_object_1,object_existence,spatial_layout,natural,on a picnic blanket with many small objects,single,pass,pass,the tiny coin is clearly visible,A tiny coin is clearly visible in the image.,success
spatial_natural_single_012_gpt-image-1_0,spatial_natural_single_012,spatial_natural_single_012_exist_object_2,object_existence,spatial_layout,natural,on a picnic blanket with many small objects,single,pass,pass,the thumbtack is clearly visible,The thumbtack is clearly visible in the center of the image.,success
spatial_natural_single_012_gpt-image-1_0,spatial_natural_single_012,spatial_natural_single_012_spatial,spatial_relation,spatial_layout,natural,on a picnic blanket with many small objects,single,pass,pass,the tiny coin is clearly to the right of the thumbtack in the 2D image,The tiny coin is clearly to the right of the thumbtack in the image.,success
spatial_natural_single_015_gpt-image-1_0,spatial_natural_single_015,spatial_natural_single_015_exist_object_1,object_existence,spatial_layout,natural,on a shelf full of books and decorations,single,pass,fail,the small washer is clearly visible,"Only a large washer is clearly visible, not a small washer.",success
